Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode
python,https://github.com/JovianTechnologies/GettingStartedWithDeepLearning,bdc20fa63091c9a6f5f2dda8c81fcd07f4051884,pip,pass,623,162032
python,https://github.com/TechnoPunter/signal-calc,334364a6c348f1f494218317545f3087f058a0f5,pip,pass,629,162259
python,https://github.com/gsvsf00/scansnotify-bot,6784aea8f98b260fbb5ef8b8d162e09c24b34414,pip,pass,632,162499
python,https://github.com/nikhilrane-21/drowsiness-detection,71a7211a809740f8bb85af31b3f06fd2533a9c9f,pip,pass,625,162269
python,https://github.com/thabe03/notion,b9bf92b728b5c2d0dbbf47e830ed34bd626531ba,pip,pass,1535,412940
python,https://github.com/ClorisYT/trytry,ed569be2cbd79284df65a895fbc1e58dd50b61dd,pip,pass,629,162248
python,https://github.com/Mesele9/inventory_master,0cb69a026ad9a39975536394ba25cecd81022bcf,pip,pass,642,162362
python,https://github.com/krishnasankarkk/django-api,d233e96e0caf56908a54630428fd1e121d56e988,pip,pass,635,162228
python,https://github.com/Miduwu/diM,0be1b2727aedb53430caf96a268a6c65f391bdc3,pip,pass,640,165008
python,https://github.com/richieyuyongpoh/chatbotGPT,b95c64374c06963defccedc9c26e6e9022e3081b,pip,pass,623,162071
python,https://github.com/yokoe/bruneus,321f3d6797f2dcde66fc6cc6d565bba5f0f94108,pip,pass,631,162314
python,https://github.com/BuzzTech-API/SOGAP-Notification-Service,c147436ce3b42ae6e4f335f4856f730fcbbb7f91,pip,pass,640,163235
python,https://github.com/getulio-souza/chatbot-prevent-updated,12fe8d6edff34489883ca09f6985b5253c511ea7,pip,pass,1122,311588
python,https://github.com/thabe03/sprite,667be45b9af3422539712e8f2df8a5f160c873cc,pip,pass,893,211200
python,https://github.com/Maydrummer/EtiquetasAMA,6161e5abf0be91b267a8cc3e018e13981ec19eff,pip,pass,623,162074
python,https://github.com/jca7140/Cloud2023,5f85b23d1b3cb00041405ccc4c26c3fa2d1186c4,pip,pass,2598,691652
python,https://github.com/Athitaya6/Credit,d6a59a8b6a839b6676f313d16451da42f6c01234,pip,pass,624,162119
python,https://github.com/colleym-cloud/ModuleRegSys,cfb5ff15460470281cf75e7de28b290aea80664e,pip,pass,1510,293088
python,https://github.com/zhiraff/task2,2959379ab31a1e2013f5a64f367c4affb5bbea55,pip,pass,633,162187
